order_id,customer_name,gender,age,city,state,product,category,quantity,unit_price,discount,total_amount,payment_method,order_date,salesperson
1,Sneha,Female,39,Bengaluru,Karnataka,Chair,Furniture,2,4500,15,7650,Cash,2025-08-26,Aarav
2,Rahul,Male,48,Pune,Maharashtra,Phone,Electronics,3,25000,15,63750,NetBanking,2025-11-04,Meena
3,Yusuf,Male,19,Hyderabad,Telangana,Laptop,Electronics,3,55000,0,165000,Card,2025-06-06,Ahmed
4,Diya,Female,54,Pune,Maharashtra,Shoes,Fashion,3,3000,10,8100,Cash,2025-12-26,Arjun
5,Meena,Male,42,Delhi,Delhi,Phone,Electronics,3,25000,20,60000,NetBanking,2025-01-14,Vijay
6,Rahul,Female,32,Hyderabad,Telangana,Laptop,Electronics,1,55000,5,52250,Card,2025-02-03,Anu
7,Aarav,Female,49,Chennai,Tamil Nadu,Watch,Fashion,4,5000,5,19000,UPI,2025-09-01,Meena
8,Neha,Male,29,Hyderabad,Telangana,Laptop,Electronics,4,55000,20,176000,UPI,2025-10-04,Meena
9,Kiran,Female,33,Chennai,Tamil Nadu,Shoes,Fashion,4,3000,10,10800,Cash,2025-08-01,Meena
10,Yusuf,Female,31,Chennai,Tamil Nadu,Phone,Electronics,4,25000,15,85000,UPI,2025-06-15,Yusuf
11,Ahmed,Female,32,Pune,Maharashtra,Laptop,Electronics,4,55000,10,198000,Card,2025-01-02,Ravi
12,Priya,Female,39,Bengaluru,Karnataka,Laptop,Electronics,5,55000,15,233750,UPI,2025-12-10,Aarav
13,Rahul,Female,55,Mumbai,Maharashtra,Chair,Furniture,5,4500,10,20250,UPI,2025-06-16,Arjun
14,Ravi,Male,23,Mumbai,Maharashtra,Phone,Electronics,5,25000,10,112500,Card,2025-10-13,Vijay
15,Vijay,Male,34,Chennai,Tamil Nadu,Chair,Furniture,3,4500,5,12825,Cash,2025-04-14,Aarav
16,Ahmed,Female,29,Delhi,Delhi,Laptop,Electronics,3,55000,0,165000,NetBanking,2025-02-25,Anu
17,Diya,Male,42,Pune,Maharashtra,Shoes,Fashion,1,3000,10,2700,UPI,2025-11-16,Vijay
18,Sneha,Male,24,Delhi,Delhi,TV,Electronics,2,42000,0,84000,NetBanking,2025-02-26,Meena
19,Meena,Male,54,Hyderabad,Telangana,Table,Furniture,3,7000,0,21000,NetBanking,2025-03-29,Yusuf
20,Ravi,Male,56,Chennai,Tamil Nadu,Phone,Electronics,1,25000,20,20000,UPI,2025-06-03,Arjun
21,Yusuf,Male,56,Chennai,Tamil Nadu,Table,Furniture,3,7000,0,21000,Card,2025-09-23,Ravi
22,Aarav,Male,21,Delhi,Delhi,Phone,Electronics,4,25000,5,95000,Card,2025-12-08,Vijay
23,Sneha,Male,58,Hyderabad,Telangana,Rice,Grocery,4,1200,0,4800,Cash,2025-12-02,Aarav
24,Aarav,Male,53,Mumbai,Maharashtra,Table,Furniture,4,7000,0,28000,Cash,2025-01-17,Neha
25,Meena,Male,21,Mumbai,Maharashtra,Rice,Grocery,4,1200,0,4800,Card,2025-09-13,Ravi
26,Arjun,Male,55,Hyderabad,Telangana,Watch,Fashion,1,5000,5,4750,UPI,2025-06-09,Meena
27,Arjun,Male,51,Chennai,Tamil Nadu,Table,Furniture,2,7000,20,11200,UPI,2025-04-13,Meena
28,Divya,Female,57,Chennai,Tamil Nadu,Laptop,Electronics,4,55000,15,187000,NetBanking,2025-02-06,Ravi
29,Vijay,Female,41,Chennai,Tamil Nadu,Table,Furniture,2,7000,10,12600,NetBanking,2025-01-22,Kiran
30,Vijay,Female,46,Pune,Maharashtra,Watch,Fashion,3,5000,10,13500,Cash,2025-03-07,Diya
31,Ravi,Male,21,Chennai,Tamil Nadu,Table,Furniture,5,7000,20,28000,Cash,2025-09-11,Kiran
32,Diya,Female,41,Mumbai,Maharashtra,Table,Furniture,3,7000,10,18900,Cash,2025-02-19,Vijay
33,Diya,Female,35,Delhi,Delhi,Watch,Fashion,1,5000,5,4750,NetBanking,2025-07-11,Priya
34,Diya,Female,56,Delhi,Delhi,Phone,Electronics,2,25000,0,50000,NetBanking,2025-04-05,Diya
35,Meena,Female,52,Chennai,Tamil Nadu,Table,Furniture,5,7000,5,33250,UPI,2025-03-29,Arjun
36,Ahmed,Female,28,Mumbai,Maharashtra,Watch,Fashion,3,5000,0,15000,NetBanking,2025-07-23,Anu
37,Rahul,Female,38,Mumbai,Maharashtra,Chair,Furniture,2,4500,0,9000,UPI,2025-08-05,Aarav
38,Meena,Male,28,Hyderabad,Telangana,Laptop,Electronics,1,55000,10,49500,Card,2025-06-12,Arjun
39,Anu,Female,58,Bengaluru,Karnataka,Table,Furniture,5,7000,20,28000,UPI,2025-03-10,Kiran
40,Yusuf,Male,32,Chennai,Tamil Nadu,TV,Electronics,1,42000,5,39900,UPI,2025-07-23,Ravi
41,Divya,Female,60,Mumbai,Maharashtra,Chair,Furniture,5,4500,5,21375,Card,2025-03-01,Priya
42,Sneha,Male,22,Pune,Maharashtra,Laptop,Electronics,3,55000,5,156750,UPI,2025-01-31,Neha
43,Anu,Male,44,Bengaluru,Karnataka,Shoes,Fashion,2,3000,20,4800,UPI,2025-02-27,Rahul
44,Neha,Female,38,Bengaluru,Karnataka,Table,Furniture,3,7000,5,19950,Cash,2025-04-03,Sneha
45,Aarav,Female,41,Delhi,Delhi,Laptop,Electronics,1,55000,5,52250,NetBanking,2025-01-23,Ahmed
46,Vijay,Male,44,Mumbai,Maharashtra,Phone,Electronics,3,25000,0,75000,NetBanking,2025-10-18,Anu
47,Vijay,Male,58,Hyderabad,Telangana,Laptop,Electronics,2,55000,15,93500,Cash,2025-11-02,Anu
48,Ahmed,Female,58,Mumbai,Maharashtra,Rice,Grocery,1,1200,0,1200,NetBanking,2025-08-16,Vijay
49,Ahmed,Female,39,Delhi,Delhi,Chair,Furniture,2,4500,10,8100,NetBanking,2025-07-05,Divya
50,Yusuf,Male,39,Pune,Maharashtra,Rice,Grocery,4,1200,10,4320,Card,2025-10-23,Arjun
51,Priya,Female,40,Hyderabad,Telangana,Laptop,Electronics,5,55000,0,275000,UPI,2025-04-05,Vijay
52,Ahmed,Female,18,Mumbai,Maharashtra,Watch,Fashion,2,5000,20,8000,UPI,2025-02-10,Priya
53,Meena,Female,27,Hyderabad,Telangana,Watch,Fashion,5,5000,0,25000,NetBanking,2025-11-15,Meena
54,Yusuf,Male,27,Chennai,Tamil Nadu,Rice,Grocery,2,1200,0,2400,NetBanking,2025-05-23,Vijay
55,Yusuf,Female,60,Delhi,Delhi,Chair,Furniture,1,4500,0,4500,Card,2025-03-22,Ahmed
56,Anu,Female,56,Hyderabad,Telangana,Laptop,Electronics,3,55000,10,148500,Card,2025-12-16,Vijay
57,Rahul,Female,55,Hyderabad,Telangana,Phone,Electronics,5,25000,10,112500,Cash,2025-12-25,Sneha
58,Anu,Male,45,Mumbai,Maharashtra,Chair,Furniture,5,4500,15,19125,Cash,2025-10-14,Vijay
59,Ravi,Male,39,Pune,Maharashtra,Table,Furniture,4,7000,0,28000,NetBanking,2025-09-12,Yusuf
60,Sneha,Male,20,Mumbai,Maharashtra,TV,Electronics,4,42000,15,142800,NetBanking,2025-06-11,Ravi
61,Kiran,Female,57,Bengaluru,Karnataka,Watch,Fashion,5,5000,0,25000,NetBanking,2025-11-04,Anu
62,Divya,Female,43,Chennai,Tamil Nadu,Rice,Grocery,4,1200,20,3840,UPI,2025-12-28,Anu
63,Sneha,Female,25,Mumbai,Maharashtra,Laptop,Electronics,1,55000,20,44000,UPI,2025-11-25,Divya
64,Aarav,Female,35,Chennai,Tamil Nadu,TV,Electronics,5,42000,0,210000,UPI,2025-03-14,Rahul
65,Yusuf,Male,57,Chennai,Tamil Nadu,TV,Electronics,5,42000,15,178500,Card,2025-01-08,Rahul
66,Diya,Female,39,Delhi,Delhi,Laptop,Electronics,5,55000,0,275000,Cash,2025-10-10,Arjun
67,Rahul,Female,30,Hyderabad,Telangana,Table,Furniture,2,7000,10,12600,Card,2025-04-08,Diya
68,Meena,Female,50,Delhi,Delhi,Shoes,Fashion,3,3000,20,7200,Cash,2025-03-21,Diya
69,Ahmed,Female,23,Chennai,Tamil Nadu,Chair,Furniture,2,4500,20,7200,Card,2025-01-09,Priya
70,Ravi,Female,40,Hyderabad,Telangana,Shoes,Fashion,5,3000,20,12000,NetBanking,2025-07-26,Diya
71,Sneha,Female,49,Mumbai,Maharashtra,Laptop,Electronics,5,55000,0,275000,UPI,2025-01-11,Vijay
72,Rahul,Female,59,Bengaluru,Karnataka,Laptop,Electronics,1,55000,0,55000,UPI,2025-03-19,Ahmed
73,Vijay,Female,48,Bengaluru,Karnataka,Shoes,Fashion,5,3000,15,12750,Card,2025-11-15,Aarav
74,Ravi,Female,46,Bengaluru,Karnataka,Chair,Furniture,2,4500,10,8100,Cash,2025-06-07,Ravi
75,Neha,Female,25,Chennai,Tamil Nadu,Shoes,Fashion,1,3000,10,2700,NetBanking,2025-11-02,Neha
76,Yusuf,Male,53,Pune,Maharashtra,Table,Furniture,3,7000,5,19950,NetBanking,2025-03-12,Kiran
77,Neha,Male,28,Delhi,Delhi,TV,Electronics,4,42000,10,151200,Cash,2025-05-20,Ravi
