id,employee_code,employee_name,age,gender,city,department,job_role,education,employment_type,joining_date,experience_years,salary,performance_rating,projects_completed,status
1,EMP00001,Employee_00001,21,Male,Kolkata,HR,HR Executive,B.Tech,Full-Time,2021-04-01,4,90097,2.7,2,Active
2,EMP00002,Employee_00002,28,Female,Pune,Admin,Tester,B.Tech,Full-Time,2022-06-14,3,24956,3.7,11,On Leave
3,EMP00003,Employee_00003,31,Female,Bengaluru,HR,HR Executive,B.Tech,Part-Time,2024-09-27,1,90842,2.5,12,Inactive
4,EMP00004,Employee_00004,22,Male,Kolkata,Marketing,Support Engineer,MCA,Full-Time,2022-12-19,3,138435,3.6,6,On Leave
5,EMP00005,Employee_00005,22,Male,Bengaluru,Support,Tester,MBA,Contract,2020-10-11,5,77742,4.3,1,Inactive
6,EMP00006,Employee_00006,32,Male,Kochi,Finance,Executive,B.Sc,Part-Time,2021-10-28,4,111132,2.6,4,Inactive
7,EMP00007,Employee_00007,41,Male,Pune,IT,Support Engineer,MBA,Part-Time,2023-01-10,2,75570,4.1,12,Active
8,EMP00008,Employee_00008,39,Female,Vijayawada,Finance,Tester,B.Sc,Full-Time,2022-05-14,3,100490,2.6,7,On Leave
9,EMP00009,Employee_00009,38,Female,Delhi,Sales,Manager,MCA,Part-Time,2026-04-18,0,86876,4.2,6,Active
10,EMP00010,Employee_00010,24,Female,Kochi,HR,HR Executive,MBA,Contract,2020-07-11,5,58066,3.9,12,Inactive
11,EMP00011,Employee_00011,29,Female,Delhi,HR,Tester,MBA,Full-Time,2025-12-07,0,21009,4.0,1,Inactive
12,EMP00012,Employee_00012,44,Male,Kolkata,HR,Tester,M.Tech,Contract,2020-01-14,5,87045,4.9,12,On Leave
13,EMP00013,Employee_00013,25,Male,Kochi,Operations,Accountant,B.Tech,Full-Time,2022-03-25,3,116019,4.3,8,Inactive
14,EMP00014,Employee_00014,28,Male,Bengaluru,Admin,Analyst,MCA,Full-Time,2023-06-13,2,33184,2.7,9,Active
15,EMP00015,Employee_00015,38,Female,Pune,Sales,Tester,MBA,Contract,2025-04-30,0,61287,2.8,9,On Leave
16,EMP00016,Employee_00016,35,Male,Delhi,IT,Executive,MCA,Full-Time,2024-03-09,1,136354,2.4,3,Active
17,EMP00017,Employee_00017,43,Female,Bengaluru,Sales,Tester,M.Tech,Part-Time,2020-10-17,5,33433,2.7,0,Active
18,EMP00018,Employee_00018,25,Female,Pune,HR,Analyst,M.Tech,Part-Time,2026-01-17,0,141907,2.7,7,Inactive
19,EMP00019,Employee_00019,34,Male,Hyderabad,Support,Support Engineer,B.Tech,Full-Time,2024-09-30,1,140427,4.6,0,Active
20,EMP00020,Employee_00020,38,Female,Vijayawada,Sales,Analyst,MBA,Contract,2022-02-18,3,135601,2.4,2,Active
21,EMP00021,Employee_00021,41,Male,Chennai,Support,Accountant,MBA,Full-Time,2020-07-26,5,21868,4.9,12,Inactive
22,EMP00022,Employee_00022,26,Female,Vijayawada,Marketing,HR Executive,M.Tech,Contract,2020-08-28,5,117345,2.0,6,On Leave
23,EMP00023,Employee_00023,25,Male,Delhi,IT,Developer,MCA,Part-Time,2025-06-16,0,67780,2.9,0,On Leave
24,EMP00024,Employee_00024,26,Male,Bengaluru,HR,Executive,MBA,Full-Time,2025-12-15,0,32910,4.9,1,On Leave
25,EMP00025,Employee_00025,39,Female,Mumbai,Sales,Support Engineer,B.Sc,Part-Time,2022-10-05,3,28418,3.9,6,Inactive
26,EMP00026,Employee_00026,42,Male,Hyderabad,Admin,Analyst,B.Tech,Contract,2021-06-20,4,96642,3.4,12,Active
27,EMP00027,Employee_00027,29,Male,Delhi,Marketing,Manager,MBA,Contract,2025-09-03,0,52722,4.8,1,On Leave
28,EMP00028,Employee_00028,40,Female,Bengaluru,Finance,Tester,B.Tech,Full-Time,2023-05-24,2,20050,4.0,8,On Leave
29,EMP00029,Employee_00029,25,Female,Pune,Marketing,Accountant,B.Com,Full-Time,2026-03-16,0,89394,2.8,3,Active
30,EMP00030,Employee_00030,29,Male,Mumbai,Finance,Accountant,MCA,Contract,2024-09-30,1,29557,2.0,12,Inactive
31,EMP00031,Employee_00031,21,Male,Kolkata,IT,Support Engineer,MCA,Contract,2026-04-16,0,47327,2.2,11,Active
32,EMP00032,Employee_00032,25,Male,Delhi,Sales,Executive,M.Tech,Full-Time,2024-10-26,1,28965,2.9,12,Inactive
33,EMP00033,Employee_00033,34,Male,Chennai,Support,Developer,B.Sc,Contract,2026-04-12,0,58515,4.8,3,Inactive
34,EMP00034,Employee_00034,42,Male,Guntur,IT,Accountant,B.Sc,Full-Time,2024-08-13,1,83055,2.8,12,Inactive
35,EMP00035,Employee_00035,30,Male,Guntur,Operations,Tester,B.Tech,Part-Time,2023-12-03,2,77662,2.7,10,Inactive
36,EMP00036,Employee_00036,33,Female,Chennai,Marketing,Developer,B.Tech,Contract,2025-09-17,0,104808,4.8,1,Inactive
37,EMP00037,Employee_00037,44,Male,Guntur,Sales,Tester,B.Tech,Contract,2023-11-16,2,100228,3.3,8,Inactive
38,EMP00038,Employee_00038,37,Female,Kochi,Operations,Analyst,M.Tech,Part-Time,2020-01-07,5,69651,3.1,1,On Leave
39,EMP00039,Employee_00039,42,Female,Kolkata,Finance,Executive,MBA,Contract,2023-06-20,2,125057,3.0,11,Inactive
40,EMP00040,Employee_00040,40,Female,Mumbai,Sales,HR Executive,MCA,Contract,2021-12-13,4,96892,3.2,0,On Leave
41,EMP00041,Employee_00041,35,Female,Chennai,HR,Tester,MCA,Contract,2023-08-12,2,133811,3.3,3,On Leave
42,EMP00042,Employee_00042,23,Male,Chennai,IT,Developer,B.Sc,Part-Time,2023-10-04,2,79569,4.0,3,On Leave
43,EMP00043,Employee_00043,35,Male,Guntur,Admin,HR Executive,B.Sc,Full-Time,2020-10-25,5,126643,4.7,9,On Leave
44,EMP00044,Employee_00044,45,Male,Kolkata,Admin,Developer,MCA,Full-Time,2020-01-23,5,45941,4.3,3,Active
45,EMP00045,Employee_00045,25,Female,Vijayawada,Support,Accountant,B.Sc,Contract,2025-02-12,0,139803,4.0,8,Inactive
46,EMP00046,Employee_00046,29,Female,Pune,Marketing,Accountant,B.Tech,Contract,2025-01-17,0,82812,4.5,4,Inactive
47,EMP00047,Employee_00047,29,Male,Chennai,Finance,Executive,MBA,Contract,2022-08-18,3,106040,3.0,8,Active
48,EMP00048,Employee_00048,23,Female,Guntur,IT,Executive,MBA,Part-Time,2022-05-26,3,126755,3.2,8,On Leave
49,EMP00049,Employee_00049,45,Female,Guntur,Support,Executive,MBA,Full-Time,2020-03-21,5,117714,3.4,5,Inactive
50,EMP00050,Employee_00050,36,Female,Chennai,Admin,Manager,MCA,Contract,2024-11-20,1,25608,3.2,10,Active
51,EMP00051,Employee_00051,39,Male,Vijayawada,Finance,Developer,B.Com,Part-Time,2024-06-01,1,25104,2.3,6,Inactive
52,EMP00052,Employee_00052,35,Female,Guntur,Marketing,Analyst,MBA,Full-Time,2022-05-16,3,103680,3.0,6,On Leave
53,EMP00053,Employee_00053,22,Male,Hyderabad,Sales,Executive,B.Tech,Contract,2026-01-18,0,109740,2.7,1,Active
54,EMP00054,Employee_00054,25,Male,Vijayawada,Marketing,Support Engineer,B.Sc,Contract,2022-09-04,3,142141,4.0,9,On Leave
55,EMP00055,Employee_00055,45,Male,Mumbai,Support,HR Executive,M.Tech,Full-Time,2021-04-14,4,60930,4.9,1,Active
56,EMP00056,Employee_00056,24,Male,Kochi,IT,Support Engineer,MCA,Part-Time,2022-09-21,3,97058,4.6,9,On Leave
57,EMP00057,Employee_00057,23,Female,Bengaluru,Support,Support Engineer,M.Tech,Part-Time,2024-02-26,1,107451,2.0,6,On Leave
58,EMP00058,Employee_00058,34,Female,Kochi,Admin,Accountant,MBA,Contract,2021-09-18,4,64173,4.2,10,On Leave
59,EMP00059,Employee_00059,31,Female,Vijayawada,Sales,Accountant,MCA,Contract,2023-01-04,2,82355,4.5,1,On Leave
60,EMP00060,Employee_00060,31,Male,Vijayawada,Sales,Support Engineer,B.Com,Part-Time,2024-04-01,1,25523,3.5,5,Inactive
61,EMP00061,Employee_00061,38,Male,Pune,Support,Accountant,MCA,Full-Time,2023-02-05,2,20661,3.5,3,On Leave
62,EMP00062,Employee_00062,41,Male,Mumbai,Sales,HR Executive,M.Tech,Full-Time,2025-05-04,0,146665,3.3,0,Inactive
63,EMP00063,Employee_00063,32,Female,Kolkata,Operations,Support Engineer,M.Tech,Part-Time,2026-07-10,0,142062,3.7,5,Inactive
64,EMP00064,Employee_00064,29,Female,Bengaluru,Finance,Executive,B.Sc,Contract,2023-06-09,2,78434,2.4,3,Inactive
65,EMP00065,Employee_00065,44,Female,Pune,Operations,Manager,B.Com,Full-Time,2023-02-06,2,92186,4.9,3,On Leave
66,EMP00066,Employee_00066,25,Female,Chennai,Admin,Analyst,B.Tech,Contract,2025-12-27,0,89909,2.1,0,Inactive
67,EMP00067,Employee_00067,36,Female,Vijayawada,HR,Analyst,MBA,Part-Time,2025-04-06,0,133466,3.0,0,Active
68,EMP00068,Employee_00068,41,Female,Bengaluru,Sales,Analyst,MCA,Part-Time,2026-06-21,0,32053,2.5,12,On Leave
69,EMP00069,Employee_00069,45,Female,Kochi,Support,Tester,MCA,Contract,2022-07-13,3,117713,3.4,7,Active
70,EMP00070,Employee_00070,45,Male,Chennai,Sales,Manager,MCA,Full-Time,2021-02-10,4,72470,3.9,4,Active
71,EMP00071,Employee_00071,34,Female,Hyderabad,Sales,Tester,M.Tech,Part-Time,2020-01-11,5,136096,4.1,7,On Leave
72,EMP00072,Employee_00072,23,Male,Guntur,HR,Executive,M.Tech,Full-Time,2025-02-02,0,79190,4.8,12,Inactive
73,EMP00073,Employee_00073,23,Female,Vijayawada,HR,Accountant,M.Tech,Part-Time,2021-08-05,4,33633,2.5,4,On Leave
74,EMP00074,Employee_00074,29,Male,Kochi,IT,HR Executive,M.Tech,Part-Time,2024-07-06,1,149195,3.6,7,On Leave
75,EMP00075,Employee_00075,21,Male,Mumbai,IT,Manager,MBA,Contract,2022-10-22,3,41940,2.7,10,On Leave
76,EMP00076,Employee_00076,29,Female,Bengaluru,Admin,Support Engineer,MBA,Part-Time,2024-12-16,1,65576,5.0,6,Inactive
77,EMP00077,Employee_00077,26,Female,Guntur,IT,Accountant,B.Tech,Part-Time,2021-03-04,4,104456,3.2,7,Inactive
78,EMP00078,Employee_00078,24,Female,Guntur,IT,Executive,MCA,Part-Time,2023-08-17,2,123952,4.6,0,On Leave
79,EMP00079,Employee_00079,41,Female,Kolkata,Finance,Tester,MBA,Contract,2025-08-03,0,133878,4.3,3,Inactive
80,EMP00080,Employee_00080,21,Male,Kolkata,Support,Analyst,B.Sc,Full-Time,2021-05-12,4,80730,4.1,4,Inactive
81,EMP00081,Employee_00081,41,Female,Kolkata,Marketing,HR Executive,MBA,Part-Time,2021-04-26,4,58362,3.5,11,Active
82,EMP00082,Employee_00082,38,Male,Bengaluru,Marketing,HR Executive,B.Com,Contract,2025-02-13,0,55917,3.2,9,Inactive
83,EMP00083,Employee_00083,30,Female,Chennai,Admin,Accountant,B.Com,Part-Time,2020-01-11,5,96264,4.5,9,On Leave
84,EMP00084,Employee_00084,33,Male,Kochi,Support,Executive,MBA,Full-Time,2026-02-03,0,137365,4.8,3,Inactive
85,EMP00085,Employee_00085,43,Male,Vijayawada,IT,Manager,MCA,Contract,2025-04-21,0,117937,3.2,10,Inactive
86,EMP00086,Employee_00086,35,Male,Chennai,Support,Manager,B.Tech,Part-Time,2021-02-15,4,44138,3.6,7,Inactive
87,EMP00087,Employee_00087,40,Female,Delhi,Admin,Developer,MCA,Full-Time,2023-10-18,2,122197,3.9,5,Active
88,EMP00088,Employee_00088,28,Male,Vijayawada,Finance,Tester,B.Tech,Full-Time,2023-03-23,2,41692,3.3,1,Inactive
89,EMP00089,Employee_00089,30,Male,Kolkata,Support,Manager,B.Sc,Full-Time,2020-08-17,5,111969,3.1,2,Active
90,EMP00090,Employee_00090,40,Male,Pune,Admin,Tester,MBA,Part-Time,2024-04-15,1,81132,3.5,9,On Leave
91,EMP00091,Employee_00091,35,Male,Vijayawada,Operations,Tester,M.Tech,Part-Time,2020-02-08,5,93400,4.0,2,On Leave
92,EMP00092,Employee_00092,35,Female,Bengaluru,Sales,HR Executive,MCA,Part-Time,2022-10-21,3,97199,2.6,6,On Leave
93,EMP00093,Employee_00093,43,Female,Mumbai,IT,Developer,MCA,Contract,2023-04-26,2,95392,2.1,10,Inactive
94,EMP00094,Employee_00094,45,Male,Pune,Marketing,Manager,M.Tech,Full-Time,2023-03-18,2,78324,3.8,5,On Leave
95,EMP00095,Employee_00095,30,Male,Bengaluru,Marketing,Support Engineer,M.Tech,Part-Time,2020-06-10,5,133559,2.1,5,Active
96,EMP00096,Employee_00096,25,Male,Mumbai,Admin,Tester,M.Tech,Part-Time,2022-04-02,3,113907,3.6,4,Active
97,EMP00097,Employee_00097,23,Female,Kolkata,Operations,Analyst,MBA,Full-Time,2025-04-02,0,54898,4.3,3,Inactive
98,EMP00098,Employee_00098,24,Female,Kochi,Support,Support Engineer,B.Tech,Contract,2026-01-06,0,137219,3.1,11,Active
99,EMP00099,Employee_00099,21,Male,Vijayawada,Marketing,HR Executive,B.Tech,Full-Time,2025-04-15,0,103984,4.7,3,Active
100,EMP00100,Employee_00100,30,Male,Guntur,Admin,Support Engineer,M.Tech,Contract,2020-06-01,5,147138,2.3,3,On Leave
101,EMP00101,Employee_00101,34,Male,Vijayawada,Support,Tester,B.Tech,Contract,2026-01-21,0,58507,4.7,10,Inactive
102,EMP00102,Employee_00102,35,Male,Delhi,Operations,Developer,MBA,Part-Time,2022-06-08,3,134574,4.9,5,Active
103,EMP00103,Employee_00103,35,Male,Hyderabad,Operations,Executive,B.Sc,Contract,2021-05-15,4,42031,4.0,10,Active
104,EMP00104,Employee_00104,45,Female,Chennai,IT,Tester,B.Sc,Full-Time,2020-10-08,5,72305,3.8,3,On Leave
105,EMP00105,Employee_00105,26,Male,Hyderabad,Operations,Executive,MCA,Part-Time,2022-10-23,3,46816,4.0,0,Active
106,EMP00106,Employee_00106,29,Male,Bengaluru,Admin,Accountant,B.Com,Contract,2021-12-14,4,31736,2.4,6,On Leave
