id,name,department,salary,join_date
1,Employee_1,Support,56537,2025-10-24
2,Employee_2,Finance,50095,2025-01-04
3,Employee_3,Finance,48665,2025-03-14
4,Employee_4,IT,119336,2025-03-28
5,Employee_5,Sales,113966,2025-03-02
6,Employee_6,HR,50791,2025-12-13
7,Employee_7,Sales,113834,2026-05-07
8,Employee_8,Finance,93433,2026-01-19
9,Employee_9,HR,43979,2026-01-13
10,Employee_10,Finance,113749,2026-02-27
11,Employee_11,Sales,44707,2026-03-07
12,Employee_12,HR,60659,2025-04-01
13,Employee_13,Support,103848,2026-03-22
14,Employee_14,Support,75467,2026-01-28
15,Employee_15,Finance,44847,2025-12-30
16,Employee_16,Finance,52423,2025-11-28
17,Employee_17,Finance,25275,2026-04-24
18,Employee_18,Sales,80018,2025-06-06
19,Employee_19,Sales,62372,2025-02-04
20,Employee_20,Sales,87330,2025-07-19
21,Employee_21,HR,32825,2025-12-08
22,Employee_22,Sales,75889,2026-05-14
23,Employee_23,Sales,35116,2025-06-07
24,Employee_24,HR,34252,2026-03-26
25,Employee_25,Support,36942,2026-04-15
26,Employee_26,Sales,47388,2026-01-15
27,Employee_27,Sales,118793,2025-01-16
28,Employee_28,IT,119655,2025-08-17
29,Employee_29,Finance,51659,2025-06-19
30,Employee_30,Sales,62452,2026-04-16
31,Employee_31,Finance,71871,2025-11-04
32,Employee_32,Support,119339,2025-09-17
33,Employee_33,Finance,100463,2025-07-10
34,Employee_34,Finance,80679,2025-08-05
35,Employee_35,HR,44561,2025-11-16
36,Employee_36,IT,119245,2025-01-30
37,Employee_37,Sales,94508,2025-05-07
38,Employee_38,IT,55085,2025-06-07
39,Employee_39,HR,51534,2025-07-02
40,Employee_40,HR,34805,2026-01-12
41,Employee_41,Support,56069,2026-02-17
42,Employee_42,Support,61537,2025-12-10
43,Employee_43,Finance,46612,2025-11-17
44,Employee_44,IT,64484,2025-01-23
45,Employee_45,Support,66686,2025-02-23
46,Employee_46,IT,46114,2025-08-30
47,Employee_47,Support,66147,2025-10-20
48,Employee_48,Support,92435,2025-02-17
49,Employee_49,Finance,26541,2025-10-14
50,Employee_50,Support,72831,2025-03-10
51,Employee_51,Sales,95653,2025-02-10
52,Employee_52,IT,84052,2026-03-18
53,Employee_53,Sales,51865,2025-11-23
54,Employee_54,IT,46182,2025-07-20
55,Employee_55,Support,51257,2026-05-01
56,Employee_56,IT,88262,2025-05-05
57,Employee_57,HR,76753,2026-02-24
58,Employee_58,HR,60060,2025-07-11
59,Employee_59,HR,31475,2025-03-07
60,Employee_60,Finance,57964,2025-09-12
61,Employee_61,HR,90768,2025-06-06
62,Employee_62,Support,96729,2025-10-20
63,Employee_63,IT,101761,2026-03-21
64,Employee_64,IT,60767,2026-05-08
65,Employee_65,Sales,78099,2026-03-01
66,Employee_66,HR,30589,2026-03-19
67,Employee_67,Sales,77966,2025-05-19
68,Employee_68,HR,35311,2025-11-27
69,Employee_69,Sales,113109,2025-07-04
70,Employee_70,Finance,103098,2025-01-25
71,Employee_71,HR,82476,2025-07-09
72,Employee_72,HR,55231,2026-05-02
73,Employee_73,IT,93609,2025-06-13
74,Employee_74,Sales,37232,2026-04-14
75,Employee_75,HR,76908,2025-02-20
76,Employee_76,HR,91852,2025-04-19
77,Employee_77,Finance,34662,2025-10-27
78,Employee_78,Support,50274,2025-02-28
79,Employee_79,Finance,71146,2025-11-27
80,Employee_80,Support,60708,2025-10-24
81,Employee_81,HR,27344,2025-10-26
82,Employee_82,IT,27684,2025-08-14
83,Employee_83,Finance,36407,2026-05-07
84,Employee_84,Support,103587,2025-06-13
85,Employee_85,IT,42294,2026-03-25
86,Employee_86,IT,93189,2025-09-07
87,Employee_87,Finance,100221,2025-03-14
88,Employee_88,Support,39315,2025-08-03
89,Employee_89,HR,74479,2025-01-09
90,Employee_90,Support,73848,2025-05-21
91,Employee_91,Support,25267,2025-11-13
92,Employee_92,Support,117438,2025-12-18
93,Employee_93,Sales,107115,2025-12-12
94,Employee_94,IT,84647,2025-10-15
95,Employee_95,IT,89805,2025-05-15
96,Employee_96,Support,112304,2025-11-14
97,Employee_97,Finance,69782,2025-12-02
98,Employee_98,IT,105547,2025-03-19
99,Employee_99,Support,87390,2025-08-17
100,Employee_100,IT,39456,2026-04-29
101,Employee_101,HR,47346,2025-11-17
102,Employee_102,Sales,93312,2025-03-20
103,Employee_103,Support,38322,2026-04-09
104,Employee_104,IT,100400,2025-10-30
105,Employee_105,Finance,106827,2025-10-22
106,Employee_106,Sales,60110,2026-01-30
107,Employee_107,HR,87300,2026-02-08
108,Employee_108,HR,78997,2026-02-20
109,Employee_109,Support,71263,2025-12-25
110,Employee_110,Support,60125,2025-03-03
111,Employee_111,Sales,92307,2025-03-12
112,Employee_112,HR,45810,2025-10-09
113,Employee_113,Finance,89623,2025-01-17
114,Employee_114,Sales,46000,2025-02-16
115,Employee_115,Finance,54063,2025-09-01
116,Employee_116,Sales,88796,2026-05-06
117,Employee_117,Support,41347,2026-05-14
118,Employee_118,Support,81389,2025-05-05
119,Employee_119,IT,63160,2026-01-23
120,Employee_120,Support,112665,2025-01-26
121,Employee_121,IT,46590,2025-06-28
122,Employee_122,HR,115052,2025-03-16
123,Employee_123,Support,80195,2025-09-24
124,Employee_124,HR,94108,2025-09-04
125,Employee_125,Support,106583,2025-02-14
126,Employee_126,IT,27884,2025-08-31
127,Employee_127,IT,98814,2025-04-20
128,Employee_128,HR,92217,2026-01-04
129,Employee_129,Sales,50751,2026-03-09
130,Employee_130,Support,55873,2025-12-06
131,Employee_131,Sales,96132,2026-04-11
132,Employee_132,IT,113727,2025-07-22
133,Employee_133,Sales,49686,2025-12-31
134,Employee_134,Sales,35179,2026-03-30
135,Employee_135,Finance,64503,2025-01-04
136,Employee_136,IT,26925,2025-07-27
137,Employee_137,Support,42768,2026-04-18
138,Employee_138,Finance,71329,2026-02-16
139,Employee_139,Support,66490,2025-07-08
140,Employee_140,IT,116056,2025-06-23
141,Employee_141,IT,25494,2025-10-11
142,Employee_142,HR,28383,2025-06-30
143,Employee_143,HR,79306,2025-01-13
144,Employee_144,Finance,84883,2025-04-24
145,Employee_145,Finance,44492,2026-05-14
146,Employee_146,Sales,28461,2026-04-30
147,Employee_147,Sales,87689,2026-04-30
148,Employee_148,HR,29589,2026-04-21
149,Employee_149,HR,98128,2025-04-17
150,Employee_150,IT,94362,2025-03-16
151,Employee_151,Finance,39765,2025-07-14
152,Employee_152,HR,87293,2026-02-23
153,Employee_153,Support,77649,2025-05-03
154,Employee_154,HR,67572,2025-08-17
155,Employee_155,Support,112698,2025-11-17
156,Employee_156,IT,33268,2026-01-03
157,Employee_157,IT,114577,2025-11-24
158,Employee_158,HR,114319,2026-03-09
159,Employee_159,Finance,79843,2025-05-01
160,Employee_160,Support,76541,2026-03-07
161,Employee_161,IT,61502,2025-06-25
162,Employee_162,Support,95992,2025-01-03
163,Employee_163,Sales,44799,2025-12-11
164,Employee_164,Sales,81143,2025-11-19
165,Employee_165,Sales,69006,2025-06-05
166,Employee_166,Support,60924,2026-02-12
167,Employee_167,HR,82745,2025-01-21
168,Employee_168,Support,110860,2025-09-02
169,Employee_169,Support,61319,2026-04-22
170,Employee_170,Sales,64747,2025-11-09
171,Employee_171,Finance,46989,2025-12-19
172,Employee_172,HR,100289,2025-03-13
173,Employee_173,HR,105632,2025-07-23
174,Employee_174,IT,58906,2026-03-04
175,Employee_175,HR,77083,2025-09-02
176,Employee_176,Support,45846,2026-02-12
177,Employee_177,Support,78179,2025-05-07
178,Employee_178,Support,69540,2026-01-26
179,Employee_179,Sales,77763,2025-05-25
180,Employee_180,Support,93409,2025-10-07
181,Employee_181,Finance,84899,2026-04-23
182,Employee_182,Sales,111637,2025-11-27
183,Employee_183,Finance,100329,2026-03-06
184,Employee_184,IT,109115,2025-03-21
185,Employee_185,HR,97455,2025-09-10
186,Employee_186,Finance,26940,2026-01-29
187,Employee_187,Support,114895,2025-08-03
188,Employee_188,Support,79827,2025-12-12
189,Employee_189,Support,37904,2026-02-03
190,Employee_190,Finance,26278,2025-06-01
191,Employee_191,HR,67333,2025-07-30
192,Employee_192,HR,44602,2026-04-06
193,Employee_193,Sales,83838,2026-03-07
194,Employee_194,IT,63699,2025-11-23
195,Employee_195,Sales,35666,2025-12-12
196,Employee_196,IT,53849,2026-02-05
197,Employee_197,Support,83061,2025-04-21
198,Employee_198,Support,69362,2026-03-09
199,Employee_199,Finance,92820,2025-04-25
200,Employee_200,Support,82287,2025-12-27
201,Employee_201,IT,88028,2026-03-21
202,Employee_202,IT,29199,2026-03-08
203,Employee_203,Finance,57982,2025-09-12
204,Employee_204,Support,48944,2026-04-30
205,Employee_205,Support,72485,2026-03-20
206,Employee_206,Support,82990,2025-02-20
207,Employee_207,HR,61637,2025-04-24
208,Employee_208,Support,39442,2026-04-05
209,Employee_209,Finance,41294,2026-04-27
210,Employee_210,Sales,73926,2026-03-18
211,Employee_211,HR,103370,2025-01-02
212,Employee_212,Finance,51882,2025-05-01
213,Employee_213,Finance,31061,2025-05-13
214,Employee_214,Support,75251,2025-10-19
215,Employee_215,Sales,76874,2025-03-17
216,Employee_216,Sales,72206,2025-01-02
217,Employee_217,Finance,95437,2025-09-17
218,Employee_218,Finance,70919,2025-01-30
219,Employee_219,Support,84330,2025-01-13
220,Employee_220,Support,66570,2026-03-02
221,Employee_221,Sales,113083,2026-02-12
222,Employee_222,IT,70140,2025-06-14
223,Employee_223,HR,81255,2025-05-11
224,Employee_224,HR,39909,2026-01-19
225,Employee_225,Finance,61717,2025-11-05
226,Employee_226,HR,80757,2025-10-23
227,Employee_227,Sales,102426,2025-10-29
228,Employee_228,Sales,100245,2025-09-27
229,Employee_229,IT,50173,2025-09-02
230,Employee_230,Finance,45887,2026-04-19
231,Employee_231,Finance,87231,2025-06-07
232,Employee_232,IT,86049,2026-01-09
233,Employee_233,Sales,77200,2025-09-09
234,Employee_234,Support,52145,2026-04-06
235,Employee_235,IT,102285,2026-05-01
236,Employee_236,HR,112534,2026-05-09
237,Employee_237,Finance,52364,2025-11-24
238,Employee_238,Finance,65234,2025-06-09
239,Employee_239,HR,35217,2025-07-25
240,Employee_240,Support,104640,2025-07-22
241,Employee_241,IT,56507,2025-10-18
242,Employee_242,IT,113731,2025-09-26
243,Employee_243,IT,108776,2025-08-31
244,Employee_244,Support,50114,2025-12-12
245,Employee_245,Finance,69176,2025-03-31
246,Employee_246,Sales,26776,2025-08-21
247,Employee_247,Finance,97177,2025-11-26
248,Employee_248,Finance,110807,2025-07-17
249,Employee_249,Sales,42249,2025-07-19
250,Employee_250,HR,65079,2026-03-15
251,Employee_251,HR,33561,2026-05-15
252,Employee_252,Support,92525,2025-08-29
253,Employee_253,Sales,61244,2025-03-03
254,Employee_254,Finance,81565,2026-04-17
255,Employee_255,IT,35206,2025-12-02
256,Employee_256,Finance,83160,2025-11-04
257,Employee_257,Finance,115866,2025-04-15
258,Employee_258,Finance,74220,2026-01-20
259,Employee_259,IT,112574,2025-01-26
260,Employee_260,HR,104656,2025-02-11
261,Employee_261,Finance,97632,2025-10-12
262,Employee_262,Finance,107740,2025-03-20
263,Employee_263,Support,106678,2025-09-26
264,Employee_264,Finance,37064,2026-02-12
265,Employee_265,IT,118967,2025-04-21
266,Employee_266,Sales,34689,2026-02-26
267,Employee_267,HR,47932,2025-10-03
268,Employee_268,Support,70243,2026-04-06
269,Employee_269,Sales,46326,2025-12-01
270,Employee_270,Finance,57244,2025-08-04
271,Employee_271,Support,72972,2026-03-02
272,Employee_272,Support,39477,2025-11-23
273,Employee_273,Sales,39362,2026-02-14
274,Employee_274,Sales,86336,2025-06-10
275,Employee_275,Sales,55800,2025-07-09
276,Employee_276,HR,116437,2025-08-02
277,Employee_277,HR,94170,2025-03-27
278,Employee_278,Sales,106261,2025-02-11
279,Employee_279,Support,51616,2026-02-11
280,Employee_280,Sales,76200,2025-09-12
281,Employee_281,Sales,102873,2025-10-27
282,Employee_282,HR,107396,2025-09-12
283,Employee_283,Support,64088,2025-02-28
284,Employee_284,HR,34335,2026-03-09
285,Employee_285,Sales,94494,2026-01-29
286,Employee_286,HR,117558,2025-06-05
287,Employee_287,HR,86315,2025-03-13
288,Employee_288,Sales,98002,2025-05-06
289,Employee_289,Support,89759,2025-12-02
290,Employee_290,Support,25613,2025-04-27
291,Employee_291,Finance,112426,2025-01-10
292,Employee_292,Sales,51397,2025-10-02
293,Employee_293,Sales,37227,2025-08-10
294,Employee_294,IT,58152,2026-01-04
295,Employee_295,IT,31732,2025-07-17
296,Employee_296,HR,99767,2025-09-03
297,Employee_297,IT,103886,2025-05-26
298,Employee_298,Finance,41405,2025-07-01
299,Employee_299,Sales,109292,2026-01-09
300,Employee_300,HR,113301,2025-09-02
301,Employee_301,IT,72739,2026-03-09
302,Employee_302,Finance,69437,2026-02-04
303,Employee_303,Support,27532,2026-01-05
304,Employee_304,HR,90960,2025-10-21
305,Employee_305,Support,104583,2025-12-28
306,Employee_306,HR,91547,2026-01-01
307,Employee_307,HR,85767,2026-01-03
308,Employee_308,Finance,70059,2025-11-10
309,Employee_309,Finance,52339,2025-05-24
310,Employee_310,IT,98087,2025-03-15
311,Employee_311,IT,68388,2025-11-24
312,Employee_312,IT,51206,2026-02-28
313,Employee_313,Finance,85654,2025-08-25
314,Employee_314,Support,55370,2025-12-10
315,Employee_315,Finance,73084,2025-01-10
316,Employee_316,IT,41810,2025-02-18
317,Employee_317,Support,42835,2025-08-09
318,Employee_318,HR,106156,2026-02-07
319,Employee_319,HR,53837,2025-09-01
320,Employee_320,HR,62781,2026-02-28
321,Employee_321,Support,76197,2025-02-27
322,Employee_322,Finance,106367,2025-02-10
323,Employee_323,Sales,38889,2025-09-10
324,Employee_324,IT,74757,2025-11-30
325,Employee_325,IT,102607,2025-08-07
326,Employee_326,HR,62088,2025-08-02
327,Employee_327,Support,112352,2026-04-19
328,Employee_328,Sales,111224,2026-02-06
329,Employee_329,Finance,48301,2026-01-22
330,Employee_330,Sales,106864,2025-08-30
331,Employee_331,IT,70458,2025-06-18
332,Employee_332,Finance,87651,2025-04-20
333,Employee_333,IT,61275,2025-01-28
334,Employee_334,Finance,77567,2025-11-03
335,Employee_335,Support,77119,2026-04-23
336,Employee_336,HR,81545,2025-12-19
337,Employee_337,HR,55955,2025-04-26
338,Employee_338,Support,119509,2026-01-30
339,Employee_339,Support,77516,2026-05-14
340,Employee_340,Support,100491,2026-01-08
341,Employee_341,Finance,113204,2025-07-19
342,Employee_342,IT,43895,2025-01-02
343,Employee_343,Support,92116,2025-07-24
344,Employee_344,Sales,81863,2025-09-05
345,Employee_345,IT,93629,2025-08-19
346,Employee_346,Sales,85611,2025-04-27
347,Employee_347,HR,115037,2025-10-07
348,Employee_348,IT,45481,2025-04-05
349,Employee_349,IT,52474,2025-06-04
350,Employee_350,HR,78521,2025-12-29
351,Employee_351,Support,51122,2025-11-18
352,Employee_352,HR,98839,2025-04-27
